ascl_id	credit	num_citations	bibcode
1207.010	Crawford, S. M.; Still, M.; Schellart, P.; Balona, L.; Buckley, D. A. H.; Gulbis, A. A. S.; Kniazev, A.; Kotze, M.; Loaring, N.; Nordsieck, K. H.; Pickering, T. E.; Potter, S.; Romero Colmenero, E.; Vaisanen, P.; Wiliams, T.; Zietsman, E.	2	2012ascl.soft07010C
1207.011	Science Software Branch at STScI	11	2012ascl.soft07011S
1207.013	Southworth, John	1	2012ascl.soft07013S
1208.001	Lang, Dustin; Hogg, David W.; Mierle, Keir; Blanton, Michael; Roweis, Sam	7	2012ascl.soft08001L
1208.003	Laher, Russ	1	2012ascl.soft08003L
1208.004	Still, Martin; Barclay, Tom	87	2012ascl.soft08004S
1208.008	Józsa, Gyula I. G.; Kenn, Franz; Oosterloo, Thomas A.; Klein, Ulrich	2	2012ascl.soft08008J
1208.009	Hales, C. A.; Murphy, T.; Curran, J. R.; Middelberg, E.; Gaensler, B. M.; Norris, R. P.	2	2012ascl.soft08009H
1208.013	Freeland, S. L.; Handy, B. N.	6	2012ascl.soft08013F
1208.014	van der Holst, Bar; Keppens, Rony; Meliani, Zakaria; Porth, Oliver; van Marle, Allard Jan; Delmont, Peter; Xia, Chun	2	2012ascl.soft08014V
1208.016	Hartman, Joel	8	2012ascl.soft08016H
1208.017	Robitaille, Thomas; Bressert, Eli	165	2012ascl.soft08017R
1208.019	Markwardt, Craig	15	2012ascl.soft08019M
1208.020	Kettenis, Mark; Sipior, Mike	1	2012ascl.soft08020K
1208.021	Mancone, Conor; Gonzalez, Anthony	3	2012ascl.soft08021M
1209.002	Plummer, Martyn	2	2012ascl.soft09002P
1209.003	Juric, Mario	9	2012ascl.soft09003J
1209.005	Gammie, Charles F.; McKinney, Jonathan C.; Tóth, Gábor	1	2012ascl.soft09005G
1209.009	Lahav, Ofer; Collister, Adrian A.	2	2012ascl.soft09009L
1209.010	Noordam, Jan E.; Smirnov, Oleg M.	1	2012ascl.soft09010N
1209.011	Kuzio de Naray, Rache; Arsenault, Cameron A.; Spekkens, Kristine; Sellwood, J. A.; McDonald, Michael; Simon, Joshua D.; Teuben, Peter	1	2012ascl.soft09011K
1209.012	Roussel, Hélène	4	2012ascl.soft09012R
1210.002	Cappellari, Michele	13	2012ascl.soft10002C
1210.005	Paioro, Luigi; Franzetti, Paolo	2	2012ascl.soft10005P
1210.008	Behroozi, Peter; Wechsler, Risa; Wu, Hao-Yi	5	2012ascl.soft10008B
1210.015	Hobbs, George; Edwards, Russell	3	2012ascl.soft10015H
1210.016	Space Telescope Science Institute	1	2012ascl.soft10016S
1210.018	Meschiari, Stefano; Wolf, Aaron S.; Rivera, Eugenio; Laughlin, Gregory; Vogt, Steve; Butler, Paul	2	2012ascl.soft10018M
1210.019	Ott, Thomas	12	2012ascl.soft10019O
1210.020	ESO	1	2012ascl.soft10020E
1210.022	Gammie, Charles F.; Guan, Xiaoyue	1	2012ascl.soft10022G
1210.029	Gaburov, Evghenii; Harfst, Stefan; Portegies Zwart, Simon	2	2012ascl.soft10029G
1210.031	Wright, Jason; Howard, Andrew	3	2012ascl.soft10031W
1211.002	Irwin, Alan W.	17	2012ascl.soft11002I
1211.006	Cappellari, Michele; Copin, Yannick	1	2012ascl.soft11006C
1212.001	Bédorf, Jeroen; Gaburov, Evghenii; Portegies Zwart, Simon	1	2012ascl.soft12001B
1212.002	Getman, Konstantin; Feigelson, Eric; Broos, Patrick; Townsley, Leisa; Garmire, Gordon	1	2012ascl.soft12002G
1212.005	Skowron, J.; Gould, A.	1	2012ascl.soft12005S
1212.007	Shamir, Lior	1	2012ascl.soft12007S
1212.008	Ruiz Cobo, B.; del Toro Iniesta, J. C.	1	2012ascl.soft12008R
1212.009	Hancock, P. J.; Murphy, T.; Gaensler, B. M.; Hopkins, A.; Curran, J. R.	4	2012ascl.soft12009H
1212.010	Kochukhov, Oleg	1	2012ascl.soft12010K
1212.011	STSCI Development Team	2	2012ascl.soft12011S
1212.015	Werner, Klaus; Dreizler, Stefan; Rauch, Thomas	23	2012ascl.soft12015W
1301.001	Bertin, Emmanuel	15	2013ascl.soft01001B
1302.002	Houck, John C.; Davis, John E.; Huenemoerder, David; Dewey, Dan; Nowak, Mike; Davis, David S.	2	2013ascl.soft02002H
1302.004	Revaz, Yves	2	2013ascl.soft02004R
1302.010	Masci, Frank	6	2013ascl.soft02010M
1302.013	Selig, Marco; Bell, Michael R.; Junklewitz, Henrik; Oppermann, Niels; Reinecke, Martin; Greiner, Maksim; Pachajoa, Carlos; Ensslin, Torsten A.	2	2013ascl.soft02013S
1302.015	Sousbie, Thierry	2	2013ascl.soft02015S
1303.001	Levison, Harold F.; Duncan, Martin J.	8	2013ascl.soft03001L
1303.002	Foreman-Mackey, Daniel; Conley, Alex; Meierjurgen Farr, Will; Hogg, David W.; Lang, Dustin; Marshall, Phil; Price-Whelan, Adrian; Sanders, Jeremy; Zuntz, Joe	31	2013ascl.soft03002F
1303.003	Akeret, Joël; Seehars, Sebastian; Amara, Adam; Refregier, Alexandre; Csillaghy, André	2	2013ascl.soft03003A
1303.004	Viti, Serena	1	2013ascl.soft03004V
1303.009	Möller, T.; Bernst, I.; Panoglou, D.; Muders, D.; Ossenkopf, V.; Röllig, M.; Schilke, P.	1	2013ascl.soft03009M
1303.014	Hurley, Jarrod R.; Tout, Christopher A.; Pols, Onno R.	1	2013ascl.soft03014H
1303.015	Hurley, Jarrod R.; Pols, Onno R.; Tout, Christopher A.	1	2013ascl.soft03015H
1303.019	Marganian, P.; Garwood, R. W.; Braatz, J. A.; Radziwill, N. M.; Maddalena, R. J.	3	2013ascl.soft03019M
1303.020	Jeschke, Eric	1	2013ascl.soft03020J
1303.021	Budavari, Tamas; Lee, Matthias A.	2	2013ascl.soft03021B
1303.022	Sotomayor-Beltran, C.; Sobey, C.; Hessels, J. W. T.; de Bruyn, G.; Noutsos, A.; Alexov, A.; Anderson, J.; Asgekar, A.; Avruch, I. M.; Beck, R.; Bell, M. E.; Bell, M. R.; Bentum, M. J.; Bernardi, G.; Best, P.; Birzan, L.; Bonafede, A.; Breitling, F.; Broderick, J.; Brouw, W. N.; Brueggen, M.; Ciardi, B.; de Gasperin, F.; Dettmar, R.-J.; van Duin, A.; Duscha, S.; Eisloeffel, J.; Falcke, H.; Fallows, R. A.; Fender, R.; Ferrari, C.; Frieswijk, W.; Garrett, M. A.; Griessmeier, J.; Grit, T.; Gunst, A. W.; Hassall, T. E.; Heald, G.; Hoeft, M.; Horneffer, A.; Iacobelli, M.; Juette, E.; Karastergiou, A.; Keane, E.; Kohler, J.; Kramer, M.; Kondratiev, V. I.; Koopmans, L. V. E.; Kuniyoshi, M.; Kuper, G.; van Leeuwen, J.; Maat, P.; Macario, G.; Markoff, S.; McKean, J. P.; Mulcahy, D. D.; Munk, H.; Orru, E.; Paas, H.; Pandey-Pommier, M.; Pilia, M.; Pizzo, R.; Polatidis, A. G.; Reich, W.; Roettgering, H.; Serylak, M.; Sluman, J.; Stappers, B. W.; Tagger, M.; Tang, Y.; Tasse, C.; ter Veen, S.; Vermeulen, R.; van Weeren, R. J.; Wijers, R. A. M. J.; Wijnholds, S. J.; Wise, M. W.; Wucknitz, O.; Yatawatta, S.; Zarka, P.	2	2013ascl.soft03022S
1303.023	STScI development Team	26	2013ascl.soft03023S
1303.024	Kurucz, Robert L.	30	2013ascl.soft03024K
1303.029	Fourt, O.; Starck, J.-L.; Sureau, F.; Bobin, J.; Moudden, Y.; Abrial, P.; Schmitt, J.	1	2013ascl.soft03029F
1304.001	Mighell, Kenneth J.	1	2013ascl.soft04001M
